order,zoho_invoice_id,zoho_net,shopify_net,delta,zoho_total,shopify_total,status
49240,3806639000015081343,0,1398,1398,1363.95,1398,large_mismatch
49239,3806639000015053229,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49238,3806639000015073393,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49237,3806639000015052366,0,1398,1398,1363.95,1398,large_mismatch
49236,3806639000015045521,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49235,3806639000015071403,0,1139.05,1139.05,1196,1139.05,large_mismatch
49234,3806639000015065397,0,2098,2098,2098.95,2098,large_mismatch
49233,3806639000015083436,0,2098,2098,2098.95,2098,large_mismatch
49232,3806639000015075391,0,1147.67,1147.67,1205.05,1147.67,large_mismatch
49231,3806639000015054342,0,2898,2898,2938.95,2898,large_mismatch
49230,3806639000015052343,0,1139.05,1139.05,1196,1139.05,large_mismatch
49229,3806639000015046422,0,1139.05,1139.05,1196,1139.05,large_mismatch
49228,3806639000015083426,0,2697,2697,2727.9,2697,large_mismatch
49227,3806639000015070210,0,1398,1398,1363.95,1398,large_mismatch
49226,3806639000015078464,0,1398,1398,1363.96,1398,large_mismatch
49225,3806639000015047397,0,1298,1298,1258.95,1298,large_mismatch
49223,3806639000015070202,0,1298,1298,1258.95,1298,large_mismatch
49222,3806639000015073384,0,1214.07,1214.07,1170.82,1214.07,large_mismatch
49221,3806639000015074404,0,2659.05,2659.05,2792,2659.05,large_mismatch
49220,3806639000015082210,0,1082.1,1082.1,1136.21,1082.1,large_mismatch
49219,3806639000015051472,0,2898,2898,2938.95,2898,large_mismatch
49218,3806639000015077361,0,2373.1,2373.1,2491.76,2373.1,large_mismatch
49217,3806639000015054305,0,2098,2098,2098.95,2098,large_mismatch
49216,3806639000015051463,0,1398,1398,1363.95,1398,large_mismatch
49215,3806639000015071368,0,2597,2597,2622.9,2597,large_mismatch
49214,3806639000015082201,0,1139.05,1139.05,1196,1139.05,large_mismatch
49213,3806639000015050394,0,1139.05,1139.05,1196,1139.05,large_mismatch
49212,3806639000015082190,0,2373.1,2373.1,2491.76,2373.1,large_mismatch
49211,3806639000015077352,0,1139.05,1139.05,1196,1139.05,large_mismatch
49210,3806639000015080282,0,1139.05,1139.05,1196,1139.05,large_mismatch
49209,3806639000015073372,0,2898,2898,2938.95,2898,large_mismatch
49208,3806639000015074395,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49207,3806639000015076253,0,1398,1398,1363.95,1398,large_mismatch
49206,3806639000015054260,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49205,3806639000015047387,0,2098,2098,2098.95,2098,large_mismatch
49204,3806639000015075352,0,1398,1398,1363.95,1398,large_mismatch
49203,3806639000015101185,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49202,3806639000015051414,0,1398,1398,1363.95,1398,large_mismatch
49201,3806639000015045453,0,2663.14,2663.14,2796.29,2663.14,large_mismatch
49200,3806639000015073353,0,1298,1298,1258.95,1298,large_mismatch
49199,3806639000015057293,0,2098,2098,2098.95,2098,large_mismatch
49198,3806639000015051406,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49197,3806639000015070179,0,1234.05,1234.05,1295.75,1234.05,large_mismatch
49196,3806639000015073345,0,1298,1298,1258.95,1298,large_mismatch
49195,3806639000015077337,0,3038.1,3038.1,3189.99,3038.1,large_mismatch
49194,3806639000015102384,0,1298,1298,1258.95,1298,large_mismatch
